filer_name	ID	filer_description
Oregon Nurseries Political Action Committee	175	Miscellaneous
Oregon Nurses Political Action Committee	12986	Miscellaneous
Oregon Optometric Public Affairs Council	176	Miscellaneous
Oregon Orthopedic Political Action Committee	2963	Miscellaneous
Oregon PERS Retirees PAC	3674	Miscellaneous
Oregon Pharmacists Fund	3781	Miscellaneous
Oregon Physical Therapy PAC	180	Miscellaneous
Oregon Professional Fire Fighters PAC	3920	Miscellaneous
Oregon Propane PAC	2803	Miscellaneous
Oregon Psychiatrists Political Action Committee	190	Miscellaneous
Oregon Pulp and Paper Political Action Committee	3936	Miscellaneous
Oregon Realtors Political Action Committee	191	Miscellaneous
Oregon Refuse and Recycling Association PAC	2829	Miscellaneous
Oregon Rental Housing Key PAC	13	Miscellaneous
Oregon Republican First Congressional District Party	2197	Political Party|Republican
Oregon Republican Party	379	Political Party|Republican
Oregon Right to Life PAC	416	Miscellaneous
Oregon School Employees Association - Voice of Involved Classified Employees	2307	Miscellaneous
Oregon Soft Drink PAC	197	Miscellaneous
Oregon Sportsmens Association PAC	5405	Miscellaneous
Oregon State Council For Retired Citizens PAC	4768	Miscellaneous
Oregon Telecommunications Association PAC	163	Miscellaneous
Oregon Trail Democrats	10087	Miscellaneous
Oregon Trial Lawyers Association PAC	39	Miscellaneous
Oregon Truck PAC	266	Miscellaneous
Oregon Vending PAC	173	Miscellaneous
Oregon WheatPAC	7665	Miscellaneous
Oregon Wild Conservation Leaders Fund State PAC	2337	Miscellaneous
Oregon Winegrowers PAC	3161	Miscellaneous
Oregonians for Immigration Reform Political Action Committee	4745	Miscellaneous
ORLAPAC	193	Miscellaneous
Orloggers PAC	11	Miscellaneous
Osteopathic Political Action Committee	212	Miscellaneous
Our Heritage PAC	10587	Miscellaneous
Overgaard, Mary|Overgaard, Mary, for Judge	5489	Judge of the Circuit Court, 4th District, Position 28|Nonpartisan
Owner-Operators of Oregon PAC	4507	Miscellaneous
ParkPAC	217	Miscellaneous
People for Lincoln County Libraries	13434	Measure|Supports Measure 21-33 - 2009|Supports Measure 21-156 - 2014
Planned Parenthood PAC of Oregon	4327	Miscellaneous
Plumbing & Mechanical Contractors Assoc. Political Action Fund	3137	Miscellaneous
Plumbing Heating & Cooling Industry PAC	222	Miscellaneous
Police Officers Lobbying In Common Effort	4395	Miscellaneous
Polk County Republican Central Committee	338	Political Party|Republican
Porter, William|Porter, Bill, Committee to Re-Elect, DA	1640	District Attorney, Tillamook County|Nonpartisan
Portland General Electric Employee Candidate Assistance Fund	2480	Miscellaneous
Portland Metropolitan Association of Realtors PAC	6165	Miscellaneous
Professional Adjusters Interested In Democracy	228	Miscellaneous
Professional Firefighters PAC	3219	Miscellaneous
Professional Insurance Agents of Oregon PAC	187	Miscellaneous
Progressive Party	13428	Political Party|Progressive
Promote Oregon Leadership PAC	682	Caucus
Prozanski, Floyd|Friends for Floyd Prozanski	1686	State Senator, 4th District|Democrat
Psychologists of Oregon Political Action Committee	4328	Miscellaneous
Rasmussen, Boyd|Committee to Re-Elect Sheriff Boyd Rasmussen	12734	County Sheriff, Union County|Nonpartisan
Rasmussen, Stu|Friends of Stu Rasmussen	13051	Mayor, City of Silverton|Nonpartisan
Read, Tobias|Friends of Tobias Read	5208	State Treasurer|Democrat
Regence Oregon Political Action Committee	73	Miscellaneous
Registered Dental Hygienists' Political Action Committee	237	Miscellaneous
Rich, Larry|Larry Rich for Mayor	13599	Mayor, City of Roseburg|Nonpartisan
Richardson, Dennis|Citizens to Elect Dennis Richardson	4155	Secretary of State|Republican
Right To Farm PAC	13565	Miscellaneous
Ripma, David|Dave Ripma for City Council	13307	City Councilor, City of Troutdale, Position One|Nonpartisan
Roberts, Craig|Committee to Re-Elect Craig Roberts Sheriff	12514	County Sheriff, Clackamas County|Nonpartisan
Roblan, Arnie|Friends of Arnie Roblan	4726	State Senator, 5th District|Democrat
Rogers, Keith|Committee to Retain Judge Keith B Rogers	12811	Judge of the Circuit Court, 20th District, Position 7|Nonpartisan
Rogers, Roy|Citizens to Reelect Roy Rogers	13042	County Commissioner, Washington County, District 3|Nonpartisan
Rogue Valley Association of Realtors Political Action Committee	5667	Miscellaneous
Rohne, Dirk|Committee to Elect Dirk Rohne	12821	Commissioner, Port of Astoria, Position 2|Nonpartisan
Rosenbaum, Diane|Rosenbaum for Senate (Diane)	1430	State Senator, 21st District|Democrat
Salem Fire PAC	245	Miscellaneous
San Soucie, Marc|San Soucie For Beaverton	13289	City Councilor, City of Beaverton, Position 5|Nonpartisan
Save Damascus	13266	Miscellaneous
Schaufler, Michael|Mike Schaufler for State Representative	4454	State Representative, 48th District|Democrat
Schouten, Dick|Neighbors for Schouten	10067	County Commissioner, Washington County, District 1|Nonpartisan
Schutt, David|Committee to Support David A. Schutt, Lake County District Attorney	12879	District Attorney, Lake County|Nonpartisan
Second Congressional District - Republican Party	2256	Political Party|Republican
SEED PAC	653	Miscellaneous
Senate Democratic Leadership Fund	1471	Caucus
Service Employees Political Action Committee	3175	Miscellaneous
Shields, William|Friends of Chip Shields	4741	State Senator, 22nd District|Democrat
Shiprack, Judy|Shiprack for County Commission	11527	County Commissioner, Multnomah County, District 3|Nonpartisan
Shirtcliff, Matt|Matt Shirtcliff for Baker County District Attorney	3529	District Attorney, Baker County|Nonpartisan
Simpson, John|John Simpson for EWEB Committee	13084	Board Member, Eugene Water and Electric Board, At Large|Nonpartisan
SMACNA PAC	3917	Miscellaneous
Smith, Brandon|Re-Elect Brandon Smith	13120	City Councilor, City of Keizer, Position 2|Nonpartisan
Smith, Gregory|Committee to Re-Elect Greg Smith	3420	State Representative, 57th District|Republican
Smith, Jefferson|Forward with Jefferson Smith	12456	Mayor, City of Portland|Nonpartisan
Social Worker Political Action Committee	253	Miscellaneous
Socialist Party of Oregon	1970	Miscellaneous
Soderback, Wesley|electwes2016.com	12452	County Commissioner, Multnomah County, District 1|Nonpartisan
Spasaro, Michael|Friends of Michael P. Spasaro	12937	State Senator, 6th District|Republican
Sprenger, Sherrie|Friends of Sherrie Sprenger	12916	State Representative, 17th District|Republican
Standard Insurance Company Political Action Committee (State)	257	Miscellaneous
Starr, Bruce|Bruce Starr for State Senate Committee	2752	State Senator, 15th District|Republican
Supporters of Lake Oswego Schools	13316	Measure|Supports Measure 3-305 - 2008
Supporters of Marion County Fire District	13452	Measure|Supports Measure 24-281 - 2008
Surplus Line Insurance PAC	4556	Miscellaneous
System Validation Committee	5643	Miscellaneous
Thatcher, Kim|Friends of Kim Thatcher	4871	State Senator, 13th District|Republican
The Good Government Council	10367	Miscellaneous
The Leadership Fund	2690	Caucus
The Roseburg Area Chamber Political Action Committee	13156	Miscellaneous
Third Congressional District, Republican Party	2436	Political Party|Republican
Tierney, William|Bill Tierney for City Council	13233	City Councilor, City of Lake Oswego|Nonpartisan
Tillamook County Democratic Central Committee	339	Political Party|Democrat
Tillamook County Republican Central Committee	340	Political Party|Republican
Tonkon Torp State PAC	11748	Miscellaneous
TrooperPAC	4221	Miscellaneous
Umatilla County Democratic Central Committee	4583	Political Party|Democrat
Umatilla County Republican Central Committee	342	Political Party|Republican
Unger, Alan|Unger for Deschutes	12683	County Commissioner, Deschutes County, Position 2|Democrat
Union County Republican Central Committee	12708	Political Party|Republican
VanGordon, Sean|Committee to Elect Sean VanGordon	12940	City Councilor, City of Springfield, Ward 1|Nonpartisan
Verger, Joanne|Joanne Verger for Oregon State Legislature	3601	State Senator, 5th District|Democrat
Veterinarians Organized to Elect PAC	274	Miscellaneous
Vote Yes for Kids	13489	Measure|Supports Measure 30-71 - 2008
Wallowa County Republican Central Committee	345	Political Party|Republican
Wasco County Democratic Central Committee	346	Political Party|Democrat
Wasco County Republican Central Committee	347	Political Party|Republican
Washington County Democratic Central Committee	348	Political Party|Democrat
Washington County Republican Central Committee	349	Political Party|Republican
Weidner, Jim|Citizens for Jim Weidner	12127	State Representative, 24th District|Republican
Wesenberg, Richard|Rick Wesenberg for Douglas County District Attorney	12654	District Attorney, Douglas County|Nonpartisan
Whisnant, Gene|Committee to Elect Gene Whisnant	4653	State Representative, 53rd District|Republican
White City Political Action Committee	5674	Miscellaneous
Whitsett, Douglas|Committee to Elect Doug Whitsett	4821	State Senator, 28th District|Republican
Wildfire Suppression PAC	4301	Miscellaneous
Willamette Women Democrats PAC	5534	Miscellaneous
Williams, Locke|Williams for Judge	4312	Judge of the Circuit Court, 21st District, Position 1|Nonpartisan
Winters, Jackie|Friends of Jackie Winters	2225	State Senator, 10th District|Republican
Witt, Bradley|Brad Witt for State Representative	5079	State Representative, 31st District|Democrat
Women's Investment Network Political Action Committee	283	Miscellaneous
Workers' Compensation PAC	250	Miscellaneous
Yamhill County Republican Party	351	Political Party|Republican
Yaquina Bay Economic Foundation PAC	5628	Miscellaneous
Yes For Cherriots	13238	Measure|Supports Measure 24-388 - 2015
Yes for Our Schools	12550	Miscellaneous
Yes Yamhill Carlton Schools	13436	Measure|Supports Measure 36-148 - 2011|Supports Measure 36-161 - 2014|Supports Measure 36 - 2016
Bailey, Scott|Bailey for School Board	13644	Director, Portland School District, Zone 5|Nonpartisan
DeYoung, Daniel|Elect Dan DeYoung Commissioner	14130	County Commissioner, Josephine County, Position 2|Nonpartisan
Freedom and Responsibility PAC	13837	Miscellaneous
Larsen, LeeAnn|LeeAnn Larsen for School Board	13714	Director, Beaverton School District, Zone 5|Nonpartisan
Matthews, Eli|Committee to Elect Eli Matthews	13691	City Councilor, City of Medford, Ward 2|Nonpartisan
Against One Sided Measures	13647	Miscellaneous
Aiken, Jane|Re-Elect Judge Jane Aiken Committee	14124	Municipal Judge, City of Salem|Nonpartisan
Ainge, Doug|Friends of Doug Ainge	14578	State Representative, 30th District|Democrat
Ainsworth, Mike|Mike Ainsworth for Polk County Commissioner	14324	County Commissioner, Polk County, Position 3|Nonpartisan
Alliance 4 Kids	13628	Miscellaneous
American College of Cardiology - Oregon Chapter PAC	13649	Miscellaneous
ArtPAC	6004	Miscellaneous
Bennett, Chuck|Chuck Bennett for Mayor	13936	Mayor, City of Salem|Nonpartisan
Beyer, Lee|Friends of Lee Beyer	14049	State Senator, 6th District|Democrat
Boice, Court|Friends of Court Boice	14673	County Commissioner, Curry County, Position 3|Nonpartisan
Brooksby, Wade|Wade Brooksby for City Council	14808	City Councilor, City of Tualatin, Position 3|Nonpartisan
Callahan, Mark|Elect Mark Callahan	14337	State Representative, 13th District|Republican
Callaway, Steve|Friends of Steve Callaway	14651	Mayor, City of Hillsboro|Nonpartisan
Castilleja, Paul|Paul Castilleja for Commissioner	14855	County Commissioner, Wallowa County, Position 3|Nonpartisan
ChiroPAC	14575	Miscellaneous
Citizens for a Safe Community	6106	Measure|Supports Measure 34-236 - 2015|Supports Measure 34-272 - 2017
Citizens For Open Honest Government	14166	Miscellaneous
Clackamas Leadership Fund	14537	Miscellaneous
Clatsop Citizens for Good Government	14420	Miscellaneous
Clausen, Richard|Clausen for Council Committee	14284	City Councilor, City of Salem, Ward 4|Nonpartisan
Clem, Dan|Dan Clem for Polk County	14131	County Commissioner, Polk County, Position 1|
Coastal Conservation Oregon PAC	13873	Miscellaneous
Conger, Jason|Committee to Elect Jason Conger	13926	State Representative, 54th District|Republican
Corvallis Kids Count!	14502	Miscellaneous
Craddick, Shirley|Shirley Craddick for METRO Councilor	13893	Metro Councilor, District 1|Nonpartisan
Crook County Republican Central Committee	14679	Political Party|Republican
Curtright, William|Ames for Oregon	14314	Governor|Republican
Dalton, William|Bill Dalton for State Rep.	14391	State Representative, 19th District|Democrat
Dassow, Peter|Friends of Peter Dassow	14411	City Councilor, City of Salem, Ward 2|Nonpartisan
DeBoie, Dan|Committee to Elect Dan DeBoie Wallowa County Commissioner	14499	County Commissioner, Wallowa County, Position 3|Nonpartisan
DeBone, Anthony|Citizens for Tony DeBone	14183	County Commissioner, Deschutes County, Position 1|Republican
Democratic Governors Association - Oregon	14667	Miscellaneous
DeRemer, Lori|Friends of Lori Chavez-DeRemer	14544	Mayor, City of Happy Valley|Nonpartisan
Dirksen, Craig|Craig Dirksen for Metro	14585	Metro Councilor, District 3|Nonpartisan
Doherty, Margaret|Friends of Margaret Doherty	13907	State Representative, 35th District|Democrat
Donohue For Representative District 10	14299	State Representative, 10th District|Republican
Elliott, Robert|Citizens to Elect Bob Elliott	14714	Mayor, City of Lebanon|Nonpartisan
Endicott, George|Committee to Reelect George Endicott Redmond Mayor	14541	Mayor, City of Redmond|Nonpartisan
Equitable Housing PAC	14041	Miscellaneous
Esterman, Richard|Richard Esterman	14245	County Commissioner, Deschutes County, Position 1|Republican
Fagin, Mark|Fagin 4 Beaverton	14225	City Councilor, City of Beaverton, Position 3|Nonpartisan
Family Physicians of Oregon PAC	13774	Miscellaneous
Farr, Patrick|Re-Elect Pat Farr for County Commissioner	14268	County Commissioner, Lane County, North Eugene, Position 4|Nonpartisan
FLAHERTY, PATRICK|Patrick For DA	14253	District Attorney, Lake County|Nonpartisan
Frederick, Lew|Friends of Lew Frederick	13997	State Senator, 22nd District|Democrat
Gilbertson, Gil|Committee to Re Elect Gil Gilbertson for Sheriff	14097	County Sheriff, Josephine County|Nonpartisan
Goodhouse, John|Friends of John Goodhouse	14765	City Councilor, City of Tigard, At-Large|Nonpartisan
Gorsek, Christopher|Friends of Chris Gorsek	14515	State Representative, 49th District|Democrat
Grant County Republican Central Committee	311	Political Party|Republican
Hall, Sherry|Friends of Sherry Hall	14374	County Clerk, Clackamas County|Nonpartisan
Hansell, Bill|Friends of Bill Hansell	14201	State Senator, 29th District|Republican
Hare, Simon|Friends of Simon Hare	14220	County Commissioner, Josephine County, Position 1|Nonpartisan
Harisay, Richard|Committee to Elect Rich Harisay	14555	State Senator, 9th District|Democrat
Heimuller, Henry|Henry Heimuller for Columbia County Commissioner Committee	13966	County Commissioner, Columbia County, Position 2|Nonpartisan
Hensley, James|Committee to Elect Jim Hensley Sheriff	14287	County Sheriff, Crook County|Nonpartisan
Holladay, Daniel|Friends of Daniel Holladay	14407	Mayor, City of Oregon City|Nonpartisan
Hoyle, Val|Friends of Val Hoyle	13967	Commissioner of the Bureau of Labor and Industries|Nonpartisan
Huddle, John|Friends of John Huddle	14352	State Representative, 55th District|Democrat
Hughes, Tom|Friends of Tom Hughes	14060	Metro Council President, At Large|Nonpartisan
Hutzler, John|John Hutzler for Auditor	13991	County Auditor, Washington County|Nonpartisan
Immergut, Karin|Immergut for Judge	13943	Judge of the Circuit Court, 4th District, Position 26|Nonpartisan
Jaffer, Daniel|Committee to Elect Danny Jaffer	14342	State Representative, 23rd District|Democrat
Johnson, Bessie|Friends of Bessie Johnson	14880	City Councilor, City of Albany, Ward III - A|Nonpartisan
Joyce, Daniel|Committee To Re-elect Daniel P. Joyce	14481	County Judge, Malheur County|Nonpartisan
King, Ian|Friends of Ian King	14211	City Councilor, City of Beaverton, Position 1|Nonpartisan
Kitzhaber, John|Kitzhaber for Governor	13920	Governor|Democrat
Klamath Patriots Conservative PAC	14459	Miscellaneous
Kyle, Claudia|Friends of Claudia Kyle	14325	State Representative, 19th District|Democrat
Lane County Public Safety Political Action Committee	13789	Miscellaneous
Lee, Scott|Scott Lee for county commission	14295	County Commissioner, Clatsop County, District 1|Nonpartisan
Long-Curtiss, Darcy|Committee to Elect Darcy Long-Curtiss	14594	City Councilor, City of The Dalles, Position 2|Nonpartisan
Malinowski, Gregory|Friends for Malinowski	14265	County Commissioner, Washington County, District 2|Nonpartisan
Mansell, Melanie|Committee to Elect Melanie Mansell for Circuit Court Judge	14539	Judge of the Circuit Court, 12th District, Position 2|Nonpartisan
Marquis, Joshua|Keep Josh Marquis Our District Attorney Committee	14066	District Attorney, Clatsop County|Nonpartisan
Marshall, William|Bill Marshall for Judge	13934	Judge of the Circuit Court, 16th District, Position 2|Nonpartisan
Mayo, Wayne|52 friends of Wayne Mayo	14584	County Commissioner, Columbia County, Position 1|Nonpartisan
McHill, Thomas|Friends of Tom McHill	14606	Judge of the Circuit Court, 23rd District, Position 5|Nonpartisan
McLane, Mike|Committee to Elect Mike McLane	13635	State Representative, 55th District|Republican
Milligan, Steve|Milligan for Monmouth	14250	Mayor, City of Monmouth|Nonpartisan
Myers, Jason|Friends of Sheriff Jason Myers	13982	County Sheriff, Marion County|Nonpartisan
Nelson, Justin|Committee to Elect Justin Nelson	14149	District Attorney, Morrow County|Nonpartisan
OAASIS	14105	Miscellaneous
Olsen, Alan|Alan Olsen for Oregon Senate Committee	14044	State Senator, 20th District|Republican
Oregon Aging & Disability Services Political Action Committee	13619	Miscellaneous
OREGON DOG Political Action Committee	14048	Miscellaneous
Oregon Metals PAC	14713	Miscellaneous
Oregon Small Business Association PAC	14531	Miscellaneous
Oregon Technology PAC	14490	Miscellaneous
Palmer, Kyle|Palmer4Silverton	14705	Mayor, City of Silverton|Nonpartisan
Parrish, Julie|Friends of Julie Parrish	14592	State Representative, 37th District|Republican
Pope, Craig|Friends of Craig Pope	14242	County Commissioner, Polk County, Position 2|Nonpartisan
Portland Greens	14528	Political Party|Pacific Green
Ralston, David|Friends of Dave Ralston	14159	County Commissioner, Lane County, Springfield, Position 2|Nonpartisan
Rayfield, Daniel|Friends of Dan Rayfield	14046	State Representative, 16th District|Democrat
Redmond Firefighters Association	14024	Miscellaneous
Reedy, Donald|Committee to Elect Don Reedy	14825	County Commissioner, Josephine County, Position 3|Nonpartisan
Roberts, Scott|Friends of Dr. Scott Roberts	13983	State Senator, 5th District|Republican
Runyon, Rod|Rod Runyon for Wasco County Commissioner	14572	County Commissioner, Wasco County, Position 3|Nonpartisan
Salmon For All Oregon PAC	14059	Miscellaneous
Savas, Paul|Friends of Paul Savas	14364	County Commissioner, Clackamas County, Position 2|Nonpartisan
Sheehan, Patrick|Friends of Patrick Sheehan	14052	State Representative, 51st District|Republican
Smith, David|Friends of David Brock Smith	15377	State Representative, 1st District|Republican
Smith, Loretta|Committee to Elect Loretta Smith	14377	City Commissioner, City of Portland, Position 3|Nonpartisan
Somoza, John|Somoza For Beaverton	14344	Director, Beaverton School District, Zone 6|Nonpartisan
Stacey, Robert|Friends of Bob Stacey	13836	Metro Councilor, District 6|Nonpartisan
Starrett, Mary|Friends of Mary Starrett	14035	County Commissioner, Yamhill County, Position 3|Nonpartisan
Staton, Daniel|Retain Dan Staton for Multnomah County Sheriff	13980	County Sheriff, Multnomah County|Nonpartisan
Stayton Citizens for the Right to Vote	14358	Measure|Opposes Measure 24-293 - 2010
Stegmann, Lori|Friends of Lori Stegmann	14223	County Commissioner, Multnomah County, District 4|Nonpartisan
Terry, Bob|Bob Terry for Washington County Chair	14072	County Commissioner, Washington County, At Large|Nonpartisan
Tesler, Laura|Friends of Laura Tesler	14269	City Councilor, City of Salem, Ward 2|Nonpartisan
The Doctors Company Oregon Political Action Committee	13914	Miscellaneous
The Jefferson PAC	14573	Miscellaneous
The Mother PAC	14523	Miscellaneous
Thompson, Melody|Committee to elect Melody Thompson	14285	County Clerk, Clackamas County|Nonpartisan
Thomsen, Chuck|Friends of Chuck Thomsen	14232	State Senator, 26th District|Republican
Three Rivers State PAC	14012	Miscellaneous
Traber, Oscar (Biff)|Traber for Mayor	14380	Mayor, City of Corvallis|Nonpartisan
Transportation Yes	14743	Miscellaneous
Turner, Pamela|Pamela Burkholder Turner Re-election Campaign	14550	Municipal Judge, City of Ashland|Nonpartisan
Umpqua Valley Republican Women's PAC	14121	Miscellaneous
Upton, Suzanne|Re-Elect Judge Suzanne Upton	14037	Judge of the Circuit Court, 20th District, Position 10|Nonpartisan
Van Orden, Paul|Paul For County	14406	County Commissioner, Multnomah County, District 2|Nonpartisan
Warner, Fred|Win With Warner	14562	County Judge, Baker County|Republican
Wescott, Mary|Friends of Mary Wescott	14706	Mayor, City of Damascus|Nonpartisan
Williams, Daniel|Friends of Dan Williams	14655	City Councilor, City of Lake Oswego|Nonpartisan
ABC Merit Shop Contractor PAC	14944	Miscellaneous
Barman, Bob|Barman4LOSD	14984	Director, Lake Oswego School District, Position 5|Nonpartisan
Beaverton Area Chamber of Commerce Political Action Committee	15103	Miscellaneous
Burke, Richard|Friends of Richard Burke	15082	Commissioner, Tualatin Valley Water Board, Position 4|Nonpartisan
Citizens for Newberg and Education	14973	Measure|Supports Measure 36-147 - 2011
Citizens for Polk County	15196	Measure|Supports Measure 27-105 - 2011
Committee for Save Our Schools	15056	Measure|Supports Measure 5-214 - 2011|Supports Measure 5-214 - 2011
Community Action Network	14961	Miscellaneous
Fagan, Shemia|Committee to Elect Shemia Fagan	14993	State Senator, 24th District|Democrat
Klamath County Museum Supporters	14934	Miscellaneous
Lee, Robert|Friends of Robert Lee	14954	Unknown Office|
Morton, Matt|Matt Morton for Portland Schools	14940	Director, Portland School District, Zone 2|Nonpartisan
Newbergs Future	15093	Miscellaneous
pryor, rosie|friends of rosie pryor	14975	Director, Lane Community College, Position 6, At-Large|Nonpartisan
Strelchun, Kim|Friends of Kim Strelchun	14892	Director, Hillsboro School District, Position 7|Nonpartisan
Tualatin Citizens for Good Government	14911	Measure|Opposes Measure 34-247 - 2016
Walston, Mary|Elect Mary Walston	14904	Director, Eugene School District, Position 7|Nonpartisan
Altizer, Bruce|Committee to Elect Bruce Altizer	15327	City Commissioner, City of Portland, Position 1|Nonpartisan
Aziz, Paul|Paul Aziz for Mayor	15878	Mayor, City of Lebanon|Nonpartisan
Baertschiger, Herman|Friends of Herman Baertschiger	15469	State Senator, 2nd District|Republican
Bagley, Beth|Bagley for Judge Committee	15507	Judge of the Circuit Court, 11th District, Position 2|Nonpartisan
Baldwin, Richard|Elect Judge Baldwin	15345	Judge of the Supreme Court, Position 3|Nonpartisan
Barbur, Scott|Scott Barbur for Milwaukie	16042	City Councilor, City of Milwaukie, Position 4|Nonpartisan
Bednarz, Warren|Warren Bednarz for Salem City Council	15297	City Councilor, City of Salem, Ward 7|Nonpartisan
Berman, Michael|Berman for OC	16078	City Commissioner, City of Oregon City, Position 4|Nonpartisan
Bolen, Jason|Jason Bolen For Lebanon City Council	15877	City Councilor, City of Lebanon, Ward III|Nonpartisan
Brady, Eileen|Friends of Eileen Brady	15023	Mayor, City of Portland|Nonpartisan
Brauer, Christopher|Elect Christopher R. Brauer Circuit Court Judge Committee	3524	Judge of the Circuit Court, 6th District, Position 5|Nonpartisan
Brookhart, Craig|Committee to Elect Craig Brookhart	15423	County Judge, Crook County|Nonpartisan
Buchal, James|Buchal for Attorney General	15806	Attorney General|Republican
Buehler, Knute|Knute for Governor	15192	Governor|Republican
Burroughs, Lynne|Committee for No On 5J Recall	16128	Board Member, Baker School District 5J, Position 4|Nonpartisan
Campbell, Barb|Barb for Bend	16034	City Councilor, City of Bend, Position 7|Nonpartisan
Carr, Jason|Committee to Elect Jason Carr	16096	County Commissioner, Crook County, Position 1|Nonpartisan
CECRO PAC	15060	Miscellaneous
Central Oregon Patriots Political Action Committee	15872	Miscellaneous
Chase, Sam|Friends of Sam Chase	15293	Metro Councilor, District 5|Nonpartisan
Churchill, Scott|The Committee to Elect Scott Churchill	15990	City Councilor, City of Milwaukie, Position 1|Nonpartisan
Citizens for a Safe and Healthy Benton County	15880	Miscellaneous
Citizens for a Safer Albany	15496	Measure|Supports Measure 22-156 - 2016
Citizens for a Safer Clackamas County	15150	Miscellaneous
Citizens for Conservation	16033	Measure|Supports Measure 36-155 - 2012
Citizens for Good Government	15334	Miscellaneous
Citizens for Improving North Santiam Schools	16012	Measure|Supports Measure 24-347 - 2012
Citizens for Sensible Law Enforcement	15315	Miscellaneous
Clark, Catherine|Clark for City Council	15705	Mayor, City of Keizer|Nonpartisan
Clark, Debbie|Committee to Elect Debbie Clark Treasurer	15208	County Treasurer, Tillamook County|Nonpartisan
Classic PAC	15686	Miscellaneous
Close, Betsy|Close Friends PAC	15477	State Senator, 8th District|Republican
Coalition for a Healthy Oregon PAC	15808	Miscellaneous
College Democrats of Oregon	15160	Miscellaneous
Committee for a Libertarian Majority	14872	Miscellaneous
Committee for Renewing the Noxious Weed Control District Levy	16090	Measure|Supports Measure 32-34 - 2012
Cook, John|Citizens to Elect John Cook	15846	Mayor, City of Tigard|Nonpartisan
Cook, Nena|Nena Cook for Oregon Supreme Court	15394	Judge of the Supreme Court, Position 3|Nonpartisan
Coos County Alliance for Progress	15567	Miscellaneous
Corvallis Area Move To Amend	15949	Measure|Supports Measure 02-81 - 2012
Cribbins, Melissa|Melissa Cribbins for County Commissioner	15616	County Commissioner, Coos County, Position 3|Nonpartisan
Damon, Janet|Friends of Jamie Damon	15200	State Senator, 20th District|Democrat
Dant, Bill|Bill Dant For Mayor Committee	15466	Mayor, City of Portland|Nonpartisan
Davis, Joelle|Friends of Joelle Davis	15769	State Senator, 19th District|Democrat
Day, Vance|The Committee to Elect Judge Vance Day	15604	Judge of the Circuit Court, 3rd District, Position 5|Nonpartisan
DeBoer, Alan|Alan DeBoer for State Senate	15924	State Senator, 3rd District|Republican
Decker, Andrew|Friends of Andrew Decker	15521	Director, Linn-Benton-Lincoln Education Service District, Zone 4|Nonpartisan
Demarest, Joan|Joan Demarest for Circuit Court Judge	16108	Judge of the Circuit Court, 21st District, Position 2|Nonpartisan
Democratic Party of Lake County	16098	Political Party|Democrat
Dick Gordon for Medford	15876	City Councilor, City of Medford, Ward 1|Nonpartisan
Douglas County FireFighters PAC	14969	Miscellaneous
Dretke, Brian|Friends to Elect Brian Dretke	15494	Judge of the Circuit Court, 10th District, Position 1|Nonpartisan
Drotzmann, David|Dave Drotzmann for Mayor	15532	Mayor, City of Hermiston|Nonpartisan
Durrow, Michael|Michael Durrow for Portland	15444	City Commissioner, City of Portland, Position 2|Nonpartisan
"Egan, James ""Jim""|Committee to Elect Judge James C. Egan"	15637	Judge of the Court of Appeals, Position 6|Nonpartisan
Elfering, William|Committee to Elect Bill Elfering	15476	County Commissioner, Umatilla County, Position 3|Nonpartisan
English, Matt|Matt English for Sheriff	15158	County Sheriff, Hood River County|Nonpartisan
Fagen, Wade|Elect Wade Fagen	16058	City Councilor, City of Bend, Position 3|Nonpartisan
Felton, Aaron|Felton For District Attorney	15529	District Attorney, Polk County|Nonpartisan
Fernandez, Scott|Friends of Scott Fernandez	15452	Mayor, City of Portland|Nonpartisan
Fitzgerald, Julie|Friends of Julie Fitzgerald	15941	City Councilor, City of Wilsonville|Nonpartisan
Fleck, Jodie|Committee to Elect Jodie Fleck	15689	County Commissioner, Crook County, Position 1|Nonpartisan
Focus on the Future	16094	Miscellaneous
Folkema, Valerie|Elect Valerie Folkema For County Commissioner Position 1	15227	County Commissioner, Tillamook County, Position 1|Nonpartisan
Friends of Bethel Schools	16010	Measure|Supports Measure 20-209 - 2012
Fuller, Dave|Fuller4Sheriff	15556	County Sheriff, Columbia County|Nonpartisan
Future of Racing in Oregon Group PAC	15659	Miscellaneous
Gamba, Mark|Friends of Mark Gamba	16015	Mayor, City of Milwaukie|Nonpartisan
Garcia, Mark|Friends Of Mark Garcia	15220	County Commissioner, Douglas County, Position 3|Nonpartisan
Garrett, Patrick|Pat Garrett for Sheriff	15143	County Sheriff, Washington County|Nonpartisan
Gibson, Joshua|Committee to Elect Josh Gibson	15673	County Assessor, Jackson County|Nonpartisan
Giunta, Janice|Committee to Elect Jan Giunta	15523	Unknown Office|Nonpartisan
Gomberg, David|Gomberg for State Rep	15348	State Representative, 10th District|Democrat
Graybeal Featherstone, Maryl|Friends of Maryl Graybeal Featherstone	15576	State Senator, 29th District|Republican
Gustafson, Jon|Friends of Jon Gustafson	15868	Mayor, City of Lake Oswego|Nonpartisan
Hales, Charles|Charlie Hales for Mayor	15089	Mayor, City of Portland|Nonpartisan
Hampton, Lynn|Keep Judge Hampton Committee	15667	Judge of the Circuit Court, 6th District, Position 1|Nonpartisan
