committee_name,committee_description,effective,expiration,filing_type,committee_id
Committee to Elect Jeff Kruse,"State Senator, 1st District, Republican",03/02/2011,07/20/2012,Amendment,2278
Committee to Elect Jeff Kruse,"State Senator, 1st District, Republican",07/23/2010,03/02/2011,Amendment,2278
Committee to Elect Jeff Kruse,"State Senator, 1st District, Republican",01/15/2010,07/23/2010,Amendment,2278
"Kruse, Jeff, Committee to Elect","State Senator, 1st District, Republican",10/09/2009,01/15/2010,Amendment,2278
"Kruse, Jeff, Committee to Elect","State Senator, 1st District, Republican",06/30/2008,10/08/2009,Amendment,2278
"Kruse, Jeff, Committee to Elect","State Senator, 1st District, Republican",05/14/2007,06/29/2008,Amendment,2278
"Kruse, Jeff, Committee to Elect","State Senator, 1st District, Republican",02/15/2006,05/13/2007,Amendment,2278
"Kruse, Jeff, Committee to Elect","State Senator, 1st District, Republican",01/26/2006,02/14/2006,Amendment,2278
"Kruse, Jeff, Committee to Elect","State Senator, 1st District, Republican",12/15/2003,01/25/2006,Amendment,2278
"Kruse, Jeff, Committee to Re-Elect","State Representative, 7th District, Republican",01/17/2002,12/14/2003,Amendment,2278
"Kruse, Jeff, Committee to Re-Elect","State Representative, 45th District, Republican",11/19/1999,01/16/2002,Amendment,2278
"Kruse, Jeff, Committee to Re-Elect","State Representative, 45th District, Republican",10/10/1997,11/18/1999,Amendment,2278
"Kruse, Jeff, Committee to Elect","State Representative, 45th District, Republican",02/28/1997,10/09/1997,Amendment,2278
"Kruse, Jeff, Committee to Elect","State Representative, 45th District, Republican",12/30/1996,02/27/1997,Amendment,2278
"Kruse, Jeff, Committee to Elect","State Representative, 45th District, Republican",01/04/1996,12/29/1996,Original,2278
Lane County Republican Central Committee,"Political Party, Republican",01/05/2018,,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",01/04/2018,01/05/2018,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",02/27/2017,01/04/2018,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",12/30/2016,02/27/2017,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",11/29/2016,12/30/2016,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",08/04/2016,11/29/2016,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",12/19/2015,08/04/2016,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",12/16/2015,12/19/2015,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",09/03/2015,12/16/2015,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",06/20/2015,09/03/2015,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",02/11/2015,06/20/2015,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",02/05/2015,02/11/2015,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",02/04/2015,02/05/2015,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",12/02/2014,02/04/2015,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",11/21/2014,12/02/2014,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",06/30/2014,11/21/2014,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",05/07/2014,06/30/2014,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",04/19/2014,05/07/2014,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",03/19/2014,04/19/2014,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",03/11/2014,03/19/2014,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",03/11/2014,03/11/2014,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",02/25/2014,03/11/2014,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",02/04/2014,02/25/2014,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",01/27/2014,02/04/2014,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",08/12/2013,01/27/2014,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",11/16/2012,08/12/2013,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",03/14/2011,11/16/2012,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",11/26/2010,03/14/2011,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",03/01/2010,11/26/2010,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",02/19/2010,03/01/2010,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",12/17/2009,02/19/2010,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",12/10/2008,12/16/2009,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",03/21/2008,12/09/2008,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",06/04/2007,03/20/2008,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",12/05/2006,06/03/2007,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",05/01/2006,12/04/2006,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",11/17/2004,04/30/2006,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",08/04/2004,11/16/2004,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",10/01/2002,08/03/2004,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",09/26/2002,09/30/2002,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",04/17/2002,09/25/2002,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",12/28/2000,04/16/2002,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",01/04/1999,12/27/2000,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",05/18/1998,01/03/1999,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",03/04/1996,05/17/1998,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",11/30/1992,03/03/1996,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",10/31/1990,11/29/1992,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",03/20/1990,10/30/1990,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",12/29/1988,03/19/1990,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",12/06/1988,12/28/1988,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",12/01/1986,12/05/1988,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",12/28/1983,11/30/1986,Amendment,325
Lane County Republican Central Committee,"Political Party, Republican",10/05/1983,12/27/1983,Original,325
Friends of Charlotte Lehan,"County Commissioner, Clackamas County, Position 1, Chair, Nonpartisan",05/07/2013,,Amendment,12529
Friends of Charlotte Lehan,"County Commissioner, Clackamas County, Position 1, Chair, Nonpartisan",06/23/2011,05/07/2013,Amendment,12529
Friends of Charlotte Lehan,"County Commissioner, Clackamas County, Position 4, Nonpartisan",06/26/2008,06/23/2011,Amendment,12529
Friends of Charlotte Lehan,"County Commissioner, Clackamas County, Position 4, Nonpartisan",01/16/2008,06/25/2008,Amendment,12529
Friends of Charlotte Lehan,"County Commissioner, Clackamas County, Position 4, Nonpartisan",12/13/2007,01/15/2008,Amendment,12529
Friends of Charlotte Lehan,"County Commissioner, Clackamas County, Position 1, Chair, Nonpartisan",11/13/2007,12/12/2007,Original,12529
Sid Leiken for Oregon,"County Commissioner, Lane County, Springfield, Position 2, Nonpartisan",02/06/2018,,Amendment,12786
Sid Leiken for Oregon,"County Commissioner, Lane County, Springfield, Position 2, Nonpartisan",01/06/2018,02/06/2018,Amendment,12786
Sid Leiken for Oregon,"County Commissioner, Lane County, Springfield, Position 2, Nonpartisan",03/23/2017,01/06/2018,Amendment,12786
Sid Leiken for Oregon,"Secretary of State, Republican",01/20/2017,03/23/2017,Amendment,12786
Sid Leiken for Oregon,"Secretary of State, Republican",01/13/2016,01/20/2017,Amendment,12786
Sid Leiken for Oregon,"Secretary of State, Republican",01/13/2016,01/13/2016,Amendment,12786
Sid Leiken for Oregon,"Secretary of State, Republican",12/09/2015,01/13/2016,Amendment,12786
Sid Leiken for Oregon,"Secretary of State, Republican",08/05/2015,12/09/2015,Amendment,12786
Sid Leiken for Oregon,"Secretary of State, Republican",07/01/2015,08/05/2015,Amendment,12786
Sid Leiken for Governor,"Governor, Republican",04/26/2015,07/01/2015,Amendment,12786
Sid Leiken for County Commissioner,"County Commissioner, Lane County, Springfield, Position 2, Nonpartisan",03/29/2014,04/26/2015,Amendment,12786
Sid Leiken for County Commissioner,"County Commissioner, Lane County, Springfield, Position 2, Nonpartisan",01/18/2013,03/29/2014,Amendment,12786
Friends of Sid Leiken,"County Commissioner, Lane County, Springfield, Position 2, Nonpartisan",10/05/2010,01/18/2013,Amendment,12786
Friends of Sid Leiken,"County Commissioner, Lane County, Springfield, Position 2, Nonpartisan",08/26/2010,10/05/2010,Amendment,12786
Friends of Sid Leiken,"County Commissioner, Lane County, Springfield, Position 2, Nonpartisan",03/08/2010,08/26/2010,Amendment,12786
Friends of Sid Leiken,"Mayor, City of Springfield, Nonpartisan",01/25/2010,03/08/2010,Amendment,12786
Friends of Sid Leiken,"Mayor, City of Springfield, Nonpartisan",02/21/2008,03/08/2010,Original,12786
Libertarian Party of Oregon,"Political Party, Libertarian",04/17/2018,,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",10/23/2017,04/17/2018,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",08/14/2017,10/23/2017,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",06/27/2017,08/14/2017,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",04/27/2015,06/27/2017,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",10/06/2014,04/27/2015,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",05/12/2014,10/06/2014,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",07/03/2013,05/12/2014,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",05/13/2013,07/03/2013,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",05/13/2013,05/13/2013,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",07/05/2012,05/13/2013,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",07/05/2012,07/05/2012,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",05/29/2012,07/05/2012,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",04/10/2012,05/29/2012,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",04/10/2012,04/10/2012,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",04/09/2012,04/10/2012,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",03/07/2012,04/09/2012,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",03/17/2011,03/07/2012,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",04/14/2010,03/17/2011,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",04/14/2010,03/17/2011,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",03/30/2010,04/14/2010,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",03/22/2010,03/30/2010,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",07/09/2009,03/22/2010,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",09/05/2008,07/08/2009,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",09/04/2008,09/04/2008,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",03/10/2008,09/03/2008,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",10/03/2007,03/09/2008,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",08/10/2007,10/02/2007,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",06/09/2007,08/09/2007,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",02/01/2007,06/08/2007,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",12/28/2006,01/31/2007,Amendment,622
Libertarian Party of Oregon,"Miscellaneous, Libertarian",12/07/2006,12/27/2006,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",03/13/2006,12/06/2006,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",03/16/2005,03/12/2006,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",03/18/2004,03/15/2005,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",12/21/2003,03/17/2004,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",11/14/2003,12/20/2003,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",08/07/2003,11/13/2003,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",06/17/2003,08/06/2003,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",08/05/2002,06/16/2003,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",03/14/2002,08/04/2002,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",06/13/2001,03/13/2002,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",03/01/2000,06/12/2001,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",08/23/1999,02/29/2000,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",06/16/1999,08/22/1999,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",11/06/1998,06/15/1999,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",07/02/1998,11/05/1998,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",05/12/1998,07/01/1998,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",10/09/1997,05/11/1998,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",10/06/1997,10/08/1997,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",06/10/1997,10/05/1997,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",12/04/1996,06/09/1997,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",11/13/1996,12/03/1996,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",08/29/1996,11/12/1996,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",08/05/1996,08/28/1996,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",07/03/1996,08/04/1996,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",05/29/1996,07/02/1996,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",05/31/1994,05/28/1996,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",11/22/1993,05/30/1994,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",09/17/1993,11/21/1993,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",10/30/1992,09/16/1993,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",06/09/1992,10/29/1992,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",12/02/1991,06/08/1992,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",04/30/1991,12/01/1991,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",06/01/1990,04/29/1991,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",06/01/1989,05/31/1990,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",03/14/1989,05/31/1989,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",04/15/1988,03/13/1989,Amendment,622
Libertarian Party of Oregon,"Political Party, Libertarian",04/24/1986,04/14/1988,Original,622
Libertarian Party of Washington County,"Political Party, Libertarian",07/23/2011,,Amendment,4608
Libertarian Party of Washington County,"Political Party, Libertarian",09/19/2010,07/23/2011,Amendment,4608
Libertarian Party of Washington County,"Political Party, Libertarian",08/15/2010,09/19/2010,Amendment,4608
Libertarian Party of Washington County,"Political Party, Libertarian",04/10/2009,08/15/2010,Amendment,4608
Libertarian Party of Washington County,"Political Party, Libertarian",03/29/2008,04/09/2009,Amendment,4608
Libertarian Party of Washington County,"Political Party, Libertarian",01/22/2008,03/28/2008,Amendment,4608
Libertarian Party of Washington County,"Political Party, Libertarian",09/19/2007,01/21/2008,Amendment,4608
Libertarian Party of Washington County,"Political Party, Libertarian",05/31/2007,09/18/2007,Amendment,4608
Libertarian Party of Washington County,"Political Party, Libertarian",02/13/2007,05/30/2007,Amendment,4608
Libertarian Party of Washington County,"Political Party, Libertarian",01/24/2006,02/12/2007,Amendment,4608
Libertarian Party of Washington County,"Political Party, Libertarian",02/22/2005,01/23/2006,Amendment,4608
Libertarian Party of Washington County,"Political Party, Libertarian",06/17/2004,02/21/2005,Amendment,4608
Libertarian Party of Washington County,"Political Party, Libertarian",02/25/2004,06/16/2004,Amendment,4608
Libertarian Party of Washington County,"Political Party, Libertarian",08/05/2003,02/24/2004,Amendment,4608
Libertarian Party of Washington County,"Political Party, Libertarian",06/13/2003,08/04/2003,Original,4608
Lincoln County Democratic Central Committee,"Political Party, Democrat",01/20/2017,,Amendment,326
Lincoln County Democratic Central Committee,"Political Party, Democrat",12/09/2016,01/20/2017,Amendment,326
Lincoln County Democratic Central Committee,"Political Party, Democrat",12/15/2014,12/09/2016,Amendment,326
Lincoln County Democratic Central Committee,"Political Party, Democrat",06/03/2013,12/15/2014,Amendment,326
Lincoln County Democratic Central Committee,"Political Party, Democrat",06/04/2012,06/03/2013,Amendment,326
Lincoln County Democratic Central Committee,"Political Party, Democrat",10/07/2011,06/04/2012,Amendment,326
Lincoln County Democratic Central Committee,"Political Party, Democrat",02/09/2011,10/07/2011,Amendment,326
Lincoln County Democratic Central Committee,"Political Party, Democrat",06/22/2010,02/09/2011,Amendment,326
Lincoln County Democratic Central Committee,"Political Party, Democrat",01/26/2008,06/22/2010,Amendment,326
Lincoln County Democratic Central Committee,"Political Party, Democrat",01/11/2005,01/25/2008,Amendment,326
Lincoln County Democratic Central Committee,"Political Party, Democrat",09/29/2004,01/10/2005,Amendment,326
Lincoln County Democratic Central Committee,"Political Party, Democrat",09/27/2004,09/28/2004,Amendment,326
Lincoln County Democratic Central Committee,"Political Party, Democrat",03/31/2004,09/26/2004,Amendment,326
Lincoln County Democratic Central Committee,"Political Party, Democrat",09/10/2003,03/30/2004,Amendment,326
Lincoln County Democratic Central Committee,"Political Party, Democrat",12/13/2002,09/09/2003,Amendment,326
Lincoln County Democratic Central Committee,"Political Party, Democrat",12/11/2000,12/12/2002,Amendment,326
Lincoln County Democratic Central Committee,"Political Party, Democrat",02/02/1999,12/10/2000,Amendment,326
Lincoln County Democratic Central Committee,"Political Party, Democrat",04/29/1998,02/01/1999,Amendment,326
Lincoln County Democratic Central Committee,"Political Party, Democrat",12/23/1996,04/28/1998,Amendment,326
Lincoln County Democratic Central Committee,"Political Party, Democrat",10/08/1993,12/22/1996,Amendment,326
Lincoln County Democratic Central Committee,"Political Party, Democrat",12/15/1992,10/07/1993,Amendment,326
Lincoln County Democratic Central Committee,"Political Party, Democrat",07/10/1991,12/14/1992,Amendment,326
Lincoln County Democratic Central Committee,"Political Party, Democrat",04/05/1991,07/09/1991,Amendment,326
Lincoln County Democratic Central Committee,"Political Party, Democrat",09/04/1990,04/04/1991,Amendment,326
Lincoln County Democratic Central Committee,"Political Party, Democrat",07/09/1990,09/03/1990,Amendment,326
Lincoln County Democratic Central Committee,"Political Party, Democrat",07/08/1988,07/08/1990,Amendment,326
Lincoln County Democratic Central Committee,"Political Party, Democrat",07/23/1986,07/07/1988,Amendment,326
Lincoln County Democratic Central Committee,"Political Party, Democrat",06/26/1984,07/22/1986,Amendment,326
Lincoln County Democratic Central Committee,"Political Party, Democrat",07/14/1982,06/25/1984,Original,326
Lincoln County Republican Central Committee,"Political Party, Republican",04/12/2016,,Amendment,327
Lincoln County Republican Central Committee,"Political Party, Republican",11/20/2014,04/12/2016,Amendment,327
Lincoln County Republican Central Committee,"Political Party, Republican",11/28/2012,11/20/2014,Amendment,327
Lincoln County Republican Central Committee,"Political Party, Republican",07/13/2011,11/28/2012,Amendment,327
Lincoln County Republican Central Committee,"Political Party, Republican",07/13/2011,07/13/2011,Amendment,327
Lincoln County Republican Central Committee,"Political Party, Republican",06/30/2011,07/13/2011,Amendment,327
Lincoln County Republican Central Committee,"Political Party, Republican",11/29/2010,06/30/2011,Amendment,327
Lincoln County Republican Central Committee,"Political Party, Republican",08/13/2010,11/29/2010,Amendment,327
Lincoln County Republican Central Committee,"Political Party, Republican",01/21/2010,08/13/2010,Amendment,327
Lincoln County Republican Central Committee,"Political Party, Republican",06/07/2007,01/21/2010,Amendment,327
Lincoln County Republican Central Committee,"Political Party, Republican",01/10/2007,06/06/2007,Amendment,327
Lincoln County Republican Central Committee,"Political Party, Republican",12/19/2005,01/09/2007,Amendment,327
Lincoln County Republican Central Committee,"Political Party, Republican",12/02/2004,12/18/2005,Amendment,327
Lincoln County Republican Central Committee,"Political Party, Republican",11/07/2003,12/01/2004,Amendment,327
Lincoln County Republican Central Committee,"Political Party, Republican",02/14/2003,11/06/2003,Amendment,327
Lincoln County Republican Central Committee,"Political Party, Republican",01/16/2003,02/13/2003,Amendment,327
Lincoln County Republican Central Committee,"Political Party, Republican",11/09/1999,01/15/2003,Amendment,327
Lincoln County Republican Central Committee,"Political Party, Republican",09/25/1997,11/08/1999,Amendment,327
Lincoln County Republican Central Committee,"Political Party, Republican",04/21/1997,09/24/1997,Amendment,327
Lincoln County Republican Central Committee,"Political Party, Republican",12/17/1996,04/20/1997,Amendment,327
Lincoln County Republican Central Committee,"Political Party, Republican",11/06/1995,12/16/1996,Amendment,327
Lincoln County Republican Central Committee,"Political Party, Republican",12/01/1994,11/05/1995,Amendment,327
Lincoln County Republican Central Committee,"Political Party, Republican",10/31/1994,11/30/1994,Amendment,327
Lincoln County Republican Central Committee,"Political Party, Republican",11/27/1992,10/30/1994,Amendment,327
Lincoln County Republican Central Committee,"Political Party, Republican",01/22/1992,11/26/1992,Amendment,327
Lincoln County Republican Central Committee,"Political Party, Republican",02/23/1987,01/21/1992,Amendment,327
Lincoln County Republican Central Committee,"Political Party, Republican",12/13/1982,02/22/1987,Amendment,327
Lincoln County Republican Central Committee,"Political Party, Republican",09/08/1981,12/12/1982,Original,327
The Lindsey Fund,"County Commissioner, Linn County, Position 1, Republican",02/26/2010,,Amendment,6945
The Lindsey Fund,"County Commissioner, Linn County, Position 1, Republican",01/31/2007,02/26/2010,Original,6945
Linn Benton Chapter of the Pacific Green Party,Political PartyPacific Green,05/10/2011,,Amendment,4737
Linn Benton Chapter of the Pacific Green Party,Political PartyPacific Green,02/01/2008,05/10/2011,Amendment,4737
Linn Benton Chapter of the Pacific Green Party,Political PartyPacific Green,09/13/2007,01/31/2008,Amendment,4737
Linn-Benton Chapter of the Pacific Green Party,Political PartyPacific Green,12/09/2003,09/12/2007,Original,4737
Linn County Republican Central Committee,"Political Party, Republican",11/30/2016,,Amendment,329
Linn County Republican Central Committee,"Political Party, Republican",11/21/2014,11/30/2016,Amendment,329
Linn County Republican Central Committee,"Political Party, Republican",07/17/2013,11/21/2014,Amendment,329
Linn County Republican Central Committee,"Political Party, Republican",11/09/2012,07/17/2013,Amendment,329
Linn County Republican Central Committee,"Political Party, Republican",08/03/2012,11/09/2012,Amendment,329
Linn County Republican Central Committee,"Political Party, Republican",05/17/2012,08/03/2012,Amendment,329
Linn County Republican Central Committee,"Political Party, Republican",11/29/2010,05/17/2012,Amendment,329
Linn County Republican Central Committee,"Political Party, Republican",04/17/2009,11/29/2010,Amendment,329
Linn County Republican Central Committee,"Political Party, Republican",03/07/2008,04/16/2009,Amendment,329
Linn County Republican Central Committee,"Political Party, Republican",02/21/2008,03/06/2008,Amendment,329
Linn County Republican Central Committee,"Political Party, Republican",12/06/2006,02/20/2008,Amendment,329
Linn County Republican Central Committee,"Political Party, Republican",11/30/2006,12/05/2006,Amendment,329
Linn County Republican Central Committee,"Political Party, Republican",07/05/2005,11/29/2006,Amendment,329
Linn County Republican Central Committee,"Political Party, Republican",01/04/2005,07/04/2005,Amendment,329
Linn County Republican Central Committee,"Political Party, Republican",12/19/2002,01/03/2005,Amendment,329
Linn County Republican Central Committee,"Political Party, Republican",02/04/2002,12/18/2002,Amendment,329
Linn County Republican Central Committee,"Political Party, Republican",12/15/2000,02/03/2002,Amendment,329
Linn County Republican Central Committee,"Political Party, Republican",12/17/1998,12/14/2000,Amendment,329
Linn County Republican Central Committee,"Political Party, Republican",12/09/1996,12/16/1998,Amendment,329
Linn County Republican Central Committee,"Political Party, Republican",11/03/1995,12/08/1996,Amendment,329
Linn County Republican Central Committee,"Political Party, Republican",11/28/1994,11/02/1995,Amendment,329
Linn County Republican Central Committee,"Political Party, Republican",04/25/1994,11/27/1994,Amendment,329
Linn County Republican Central Committee,"Political Party, Republican",01/22/1992,04/24/1994,Amendment,329
Linn County Republican Central Committee,"Political Party, Republican",05/22/1991,01/21/1992,Amendment,329
Linn County Republican Central Committee,"Political Party, Republican",07/21/1988,05/21/1991,Amendment,329
Linn County Republican Central Committee,"Political Party, Republican",10/05/1983,07/20/1988,Original,329
Low Income Dental Political Action Committee,Miscellaneous,03/13/2018,,Amendment,3598
Low Income Dental Political Action Committee,Miscellaneous,02/23/2018,03/13/2018,Amendment,3598
Low Income Dental Political Action Committee,Miscellaneous,02/20/2018,02/23/2018,Amendment,3598
Low Income Dental Political Action Committee,Miscellaneous,02/14/2018,02/20/2018,Amendment,3598
Low Income Dental Political Action Committee,Miscellaneous,01/31/2018,02/14/2018,Amendment,3598
Low Income Dental Political Action Committee,Miscellaneous,04/02/2014,01/31/2018,Amendment,3598
Low Income Dental Political Action Committee,Miscellaneous,09/14/2009,04/02/2014,Amendment,3598
Low Income Dental Political Action Committee,Miscellaneous,01/20/2006,09/13/2009,Amendment,3598
Low Income Dental Political Action Committee,Miscellaneous,12/01/1999,01/19/2006,Original,3598
"Committee to elect Robert ""Bob"" Main Coos County Commissioner","County Commissioner, Coos County, Position 1, Nonpartisan",06/25/2012,,Amendment,12563
"Committee to elect Robert ""Bob"" Main Coos County Commissioner","County Commissioner, Coos County, Position 1, Nonpartisan",11/09/2011,06/25/2012,Amendment,12563
"Committee to elect Robert ""Bob"" Main Coos County Commissioner","County Commissioner, Coos County, Position 1, Nonpartisan",12/13/2007,11/09/2011,Original,12563
Malheur County Democratic Central Committee,"Political Party, Democrat",02/01/2011,,Amendment,330
Malheur County Democratic Central Committee,"Political Party, Democrat",04/03/2009,02/01/2011,Amendment,330
Malheur County Democratic Central Committee,"Political Party, Democrat",05/13/1996,04/02/2009,Amendment,330
Malheur County Democratic Central Committee,"Political Party, Democrat",06/01/1992,05/12/1996,Amendment,330
Malheur County Democratic Central Committee,"Political Party, Democrat",04/16/1990,05/31/1992,Amendment,330
Malheur County Democratic Central Committee,"Political Party, Democrat",05/16/1986,04/15/1990,Amendment,330
Malheur County Democratic Central Committee,"Political Party, Democrat",08/08/1984,05/15/1986,Amendment,330
Malheur County Democratic Central Committee,"Political Party, Democrat",10/05/1983,08/07/1984,Original,330
Malheur County Republican Central Committee,"Political Party, Republican",12/05/2016,,Amendment,331
Malheur County Republican Central Committee,"Political Party, Republican",03/05/2015,12/05/2016,Amendment,331
Malheur County Republican Central Committee,"Political Party, Republican",01/15/2015,03/05/2015,Amendment,331
Malheur County Republican Central Committee,"Political Party, Republican",01/07/2013,01/15/2015,Amendment,331
Malheur County Republican Central Committee,"Political Party, Republican",12/05/2012,01/07/2013,Amendment,331
Malheur County Republican Central Committee,"Political Party, Republican",08/07/2012,12/05/2012,Amendment,331
Malheur County Republican Central Committee,"Political Party, Republican",08/01/2012,08/07/2012,Amendment,331
Malheur County Republican Central Committee,"Political Party, Republican",07/23/2010,08/01/2012,Amendment,331
Malheur County Republican Central Committee,"Political Party, Republican",11/18/2008,07/23/2010,Amendment,331
Malheur County Republican Central Committee,"Political Party, Republican",01/23/2008,11/17/2008,Amendment,331
Malheur County Republican Central Committee,"Political Party, Republican",11/20/2006,01/22/2008,Amendment,331
